Name,IMO Number,Status,SOx Scrubber 1 Technology Type,SOx Scrubber 1 Retrofit Date,SOx Scrubber Status
Enterprise Star,9423968,In Service,Open Loop,07. Feb 23,Fitted
Hebei Dynasty,9439618,In Service,Open Loop,07. Feb 23,Fitted
OOCL Brussels,9622590,In Service,Open Loop,06. Feb 23,Fitted
Chios I,9792187,In Service,Open Loop,06. Feb 23,Fitted
Hebei Challenger,9439591,In Service,Open Loop,05. Feb 23,Fitted
Ever Ethic,9241293,In Service,TBC,05. Feb 23,Fitted
Georgina Hope,9423970,In Service,Open Loop,04. Feb 23,Fitted
APL Esplanade,9632038,In Service,Hybrid,04. Feb 23,Fitted
OOCL Indonesia,9776224,In Service,Open Loop,03. Feb 23,Fitted
Global Star,9198082,In Service,Open Loop,01. Feb 23,Fitted
EA Noddy,9937488,In Service,Open Loop,30. Jan 23,Fitted
CT Pachuca,9344253,In Service,Open Loop,28. Jan 23,Fitted
Ocean Emperor,9423956,In Service,Open Loop,28. Jan 23,Fitted
Pacific Cobalt,9788617,In Service,Open Loop,28. Jan 23,Fitted
Samskip Innovator,9436214,In Service,Open Loop,26. Jan 23,Fitted
Berge Snaefell,9816593,In Service,Open Loop,25. Jan 23,Fitted
MSC Rebecca III,9139505,In Service,Hybrid,20. Jan 23,Fitted
Green Azure,9934644,In Service,Open Loop,20. Jan 23,Fitted
Green Power,9927316,In Service,Open Loop,20. Jan 23,Fitted
MSC Capella,9465289,In Service,Hybrid,19. Jan 23,Fitted
CS Pride,9517915,In Service,Open Loop,19. Jan 23,Fitted
Julia N,9479369,In Service,Open Loop,17. Jan 23,Fitted
Torm Discoverer,9326938,In Service,Open Loop,17. Jan 23,Fitted
DHT Puma,9728837,In Service,Open Loop,17. Jan 23,Fitted
Delta Supreme,9585895,In Service,Open Loop,16. Jan 23,Fitted
Torm Mathilde,9358412,In Service,Open Loop,16. Jan 23,Fitted
MSC Vidisha R.,9227326,In Service,Hybrid,16. Jan 23,Fitted
Maria,9568005,In Service,Open Loop,15. Jan 23,Fitted
Lesvos,9772321,In Service,Open Loop,11. Jan 23,Fitted
Energizer,9299501,In Service,Open Loop,11. Jan 23,Fitted
EA Gannet,9937476,In Service,Open Loop,10. Jan 23,Fitted
MSC Katie,9467457,In Service,Hybrid,09. Jan 23,Fitted
Kota Pusaka,9793961,In Service,Open Loop,09. Jan 23,Fitted
DHT Leopard,9733961,In Service,Open Loop,06. Jan 23,Fitted
Princess Vanya,9629366,In Service,TBC,06. Jan 23,Fitted
Polar Ace,9721504,In Service,Open Loop,04. Jan 23,Fitted
CMA CGM Lisa Marie,9729099,In Service,Hybrid,03. Jan 23,Fitted
MSC Fie X,9120853,In Service,Hybrid,03. Jan 23,Fitted
Mini,9464651,In Service,Open Loop,01. Jan 23,Fitted
MSC New York,9606314,In Service,Hybrid,01. Jan 23,Fitted
TS Osaka,9810111,In Service,Open Loop,30. Dec 22,Fitted
Houtmangracht,9435765,In Service,Open Loop,28. Dec 22,Fitted
Houston,9596947,In Service,Open Loop,28. Dec 22,Fitted
MSC Bremen,9369734,In Service,Open Loop,27. Dec 22,Fitted
MSC Roberta V,9038907,In Service,Open Loop,26. Dec 22,Fitted
Seaspan Adonis,9468293,In Service,Open Loop,26. Dec 22,Fitted
Darya Shanti,9711145,In Service,Open Loop,26. Dec 22,Fitted
MSC Natasha XIII,9463035,In Service,Hybrid,25. Dec 22,Fitted
MSC Elisa XIII,9463059,In Service,Hybrid,25. Dec 22,Fitted
MSC India,9231248,In Service,Hybrid,24. Dec 22,Fitted
MSC Sindy,9336048,In Service,Hybrid,24. Dec 22,Fitted
Texas,9623685,In Service,Open Loop,24. Dec 22,Fitted
X-Press Elbe,9483669,In Service,Open Loop,21. Dec 22,Fitted
Deliver,9194983,In Service,Open Loop,20. Dec 22,Fitted
OOCL Bangkok,9627978,In Service,Open Loop,20. Dec 22,Fitted
CMA CGM Tanya,9722704,In Service,Hybrid,18. Dec 22,Fitted
Torm Sovereign,9797723,In Service,Open Loop,16. Dec 22,Fitted
Celeste Nova,9534054,In Service,Open Loop,16. Dec 22,Fitted
Boston,9595216,In Service,Open Loop,15. Dec 22,Fitted
Hyundai Antwerp,9469912,In Service,Open Loop,12. Dec 22,Fitted
MSC Monica III,9060649,In Service,Open Loop,11. Dec 22,Fitted
MSC Ans,9282261,In Service,Open Loop,11. Dec 22,Fitted
MSC Ela,9282259,In Service,Hybrid,09. Dec 22,Fitted
Mount Gilboa,9482940,In Service,Open Loop,09. Dec 22,Fitted
MSC Beatrice,9399014,In Service,Hybrid,08. Dec 22,Fitted
Glovis Cougar,9451898,In Service,Open Loop,03. Dec 22,Fitted
Cape Ray,9405071,In Service,Open Loop,01. Dec 22,Fitted
CMA CGM J. Madison,9780897,In Service,Hybrid,01. Dec 22,Fitted
Kota Cepat,9638977,In Service,Open Loop,27. Nov 22,Fitted
MSC Vilda X,9146479,In Service,Hybrid,27. Nov 22,Fitted
Berge Bintumani,9488657,In Service,Open Loop,25. Nov 22,Fitted
Florencia,9287584,In Service,Open Loop,23. Nov 22,Fitted
Ever Lunar,9629093,In Service,TBC,23. Nov 22,Fitted
Shusha,9779941,In Service,Open Loop,22. Nov 22,Fitted
James II,9253909,In Service,Open Loop,21. Nov 22,Fitted
African Buzzard,9720225,In Service,Open Loop,20. Nov 22,Fitted
Berge Phan Xi Pang,9806299,In Service,Open Loop,20. Nov 22,Fitted
MSC Ornella,9281267,In Service,Open Loop,19. Nov 22,Fitted
MSC Antonia,9398216,In Service,Hybrid,19. Nov 22,Fitted
MSC Petra,9222302,In Service,Hybrid,18. Nov 22,Fitted
OOCL Scandinavia,9776212,In Service,Open Loop,18. Nov 22,Fitted
MSC Mexico V,9231779,In Service,Open Loop,16. Nov 22,Fitted
Delos,9585601,In Service,Hybrid,15. Nov 22,Fitted
MSC Mirja,9762338,In Service,Hybrid,14. Nov 22,Fitted
Apus,9280885,In Service,Open Loop,13. Nov 22,Fitted
MSC Danit,9404649,In Service,Hybrid,11. Nov 22,Fitted
Maersk Emerald,9502910,In Service,Open Loop,10. Nov 22,Fitted
Morning Hope,9789283,In Service,Open Loop,10. Nov 22,Fitted
Hyundai Ulsan,9469895,In Service,Open Loop,08. Nov 22,Fitted
Aquila II,9281152,In Service,Open Loop,08. Nov 22,Fitted
Torm Hermia,9797993,In Service,Open Loop,08. Nov 22,Fitted
Ever Liven,9595527,In Service,TBC,08. Nov 22,Fitted
Endurance,9312200,In Service,Open Loop,07. Nov 22,Fitted
Agistri,9597018,In Service,Open Loop,06. Nov 22,Fitted
Glovis Sky,9798404,In Service,Open Loop,05. Nov 22,Fitted
OOCL Utah,9486087,In Service,Open Loop,04. Nov 22,Fitted
Riqueza,9233650,In Service,Open Loop,31. Oct 22,Fitted
New Journey,9799197,In Service,Open Loop,31. Oct 22,Fitted
Celebrity Reflection,9506459,In Service,Hybrid,30. Oct 22,Fitted
BG Onyx,9436197,In Service,Open Loop,28. Oct 22,Fitted
CMA CGM J. Adams,9780885,In Service,Hybrid,28. Oct 22,Fitted
MSC Heidi,9309473,In Service,Hybrid,26. Oct 22,Fitted
Glovis Safety,9798399,In Service,Open Loop,25. Oct 22,Fitted
Flavin,9787912,In Service,Open Loop,24. Oct 22,Fitted
Gas Zenith,9795543,In Service,Open Loop,21. Oct 22,Fitted
Front Fusion,9887803,In Service,Open Loop,21. Oct 22,Fitted
Hudsongracht,9433262,In Service,Open Loop,20. Oct 22,Fitted
Corcovado,9687564,In Service,Open Loop,19. Oct 22,Fitted
Front Prince,9788899,In Service,Open Loop,15. Oct 22,Fitted
MSC Anahita,9302085,In Service,Hybrid,15. Oct 22,Fitted
MSC Pegasus VII,9267637,In Service,Hybrid,11. Oct 22,Fitted
Pacific Reefer,9179268,In Service,Open Loop,10. Oct 22,Fitted
Stena Imperator,9797383,In Service,Open Loop,10. Oct 22,Fitted
Ken Breeze,9636383,In Service,Open Loop,10. Oct 22,Fitted
MSC Anisha R,9227297,In Service,Hybrid,09. Oct 22,Fitted
Pacific Debbie,9772058,In Service,Open Loop,06. Oct 22,Fitted
CMA CGM G. Washington,9780847,In Service,Hybrid,06. Oct 22,Fitted
Jarnain,9823546,In Service,Open Loop,03. Oct 22,Fitted
Condor Express,9184902,In Service,Open Loop,29. Sep 22,Fitted
MSC Paola,9161297,In Service,Hybrid,28. Sep 22,Fitted
MSC Tokyo,9318046,In Service,Hybrid,28. Sep 22,Fitted
Grande Nigeria,9246580,In Service,Open Loop,27. Sep 22,Fitted
Ulusoy-16,9809095,In Service,TBC,27. Sep 22,Fitted
Angel II,9511349,In Service,Open Loop,26. Sep 22,Fitted
Glovis Cardinal,9419759,In Service,Open Loop,25. Sep 22,Fitted
New Assurance,9799161,In Service,Open Loop,25. Sep 22,Fitted
MSC Judith,9299549,In Service,Hybrid,24. Sep 22,Fitted
Ken Yo,9547154,In Service,Open Loop,20. Sep 22,Fitted
Balla,9749556,In Service,Open Loop,20. Sep 22,Fitted
Pacific Julia,9772046,In Service,Open Loop,19. Sep 22,Fitted
New Vision,9799202,In Service,Open Loop,19. Sep 22,Fitted
Al Riffa,9525912,In Service,Open Loop,18. Sep 22,Fitted
Ever Lucid,9629055,In Service,TBC,17. Sep 22,Fitted
Front Future,9887815,In Service,Open Loop,14. Sep 22,Fitted
Seaways Frio,9596985,In Service,Open Loop,13. Sep 22,Fitted
BG Ruby,9436202,In Service,Open Loop,11. Sep 22,Fitted
Atlantic Reefer,9179256,In Service,Open Loop,11. Sep 22,Fitted
MSC Ellen,9166780,In Service,Hybrid,10. Sep 22,Fitted
Glovis Sonic,9798387,In Service,Open Loop,08. Sep 22,Fitted
MSC Beryl,9467392,In Service,Hybrid,07. Sep 22,Fitted
Ilma,9588392,In Service,Open Loop,03. Sep 22,Fitted
Front Earl,9788320,In Service,Open Loop,02. Sep 22,Fitted
Aragona,9513115,In Service,Open Loop,01. Sep 22,Fitted
Norns,9439058,In Service,Open Loop,01. Sep 22,Fitted
Seastar Avalon,9755921,In Service,Open Loop,31. Aug 22,Fitted
Fontana,9792541,In Service,Open Loop,30. Aug 22,Fitted
Umm Salal,9525857,In Service,Open Loop,30. Aug 22,Fitted
MSC Charleston,9299537,In Service,Hybrid,29. Aug 22,Fitted
Pacific Sarah,9772034,In Service,Open Loop,28. Aug 22,Fitted
CS Trust,9438511,In Service,Open Loop,26. Aug 22,Fitted
Sea Splendor,9575101,In Service,Open Loop,21. Aug 22,Fitted
Cisnes,9687576,In Service,Open Loop,20. Aug 22,Fitted
MSC Elsa 3,9123221,In Service,Open Loop,20. Aug 22,Fitted
Longevo,9182306,In Service,Open Loop,17. Aug 22,Fitted
New Merit,9706396,In Service,Open Loop,16. Aug 22,Fitted
Nolde,9787924,In Service,Open Loop,12. Aug 22,Fitted
Front Feature,9903970,In Service,Open Loop,12. Aug 22,Fitted
MSC Kumsal,9305506,In Service,Hybrid,09. Aug 22,Fitted
Atlantis A,9354375,In Service,Open Loop,08. Aug 22,Fitted
Jebel Ali,9525936,In Service,Open Loop,05. Aug 22,Fitted
Namura Queen,9841299,In Service,Open Loop,05. Aug 22,Fitted
Energy,9255787,In Service,Open Loop,04. Aug 22,Fitted
MSC Aby,9166778,In Service,Hybrid,03. Aug 22,Fitted
CMA CGM T. Jefferson,9780861,In Service,Hybrid,01. Aug 22,Fitted
Unity Venture,9773739,In Service,Open Loop,01. Aug 22,Fitted
Front Favour,9903968,In Service,Open Loop,01. Aug 22,Fitted
MSC Tania,9316373,In Service,Open Loop,28. Jul 22,Fitted
Torm Amorina,9484895,In Service,Open Loop,26. Jul 22,Fitted
Harbour Splendor,9575096,In Service,Open Loop,25. Jul 22,Fitted
Xin Hai,9406477,In Service,Open Loop,24. Jul 22,Fitted
Ciudad de Barcelona,9506289,In Service,Open Loop,22. Jul 22,Fitted
MSC Margarita,9238741,In Service,Hybrid,22. Jul 22,Fitted
Maersk Sofia,9308637,In Service,Open Loop,20. Jul 22,Fitted
Wisdom Venture,9773741,In Service,Open Loop,16. Jul 22,Fitted
MSC Kalina,9399026,In Service,Hybrid,13. Jul 22,Fitted
Kyra Thaleia,9375915,In Service,Open Loop,11. Jul 22,Fitted
Karolos,9410208,In Service,Open Loop,10. Jul 22,Fitted
MSC Sofia Paz,9695028,In Service,Open Loop,10. Jul 22,Fitted
Ever Living,9629031,In Service,Open Loop,08. Jul 22,Fitted
MSC Tianshan,9305477,In Service,Hybrid,07. Jul 22,Fitted
Glovis Challenge,9590591,In Service,Open Loop,05. Jul 22,Fitted
Tayma Express,9525895,In Service,Open Loop,02. Jul 22,Fitted
Shagang Faith,9521980,In Service,Open Loop,30. Jun 22,Fitted
AOM Sveva,9852793,In Service,Open Loop,30. Jun 22,Fitted
MSC Toronto,9299525,In Service,Hybrid,29. Jun 22,Fitted
Shagang Volition,9519573,In Service,Open Loop,28. Jun 22,Fitted
Humbergracht,9433274,In Service,Open Loop,28. Jun 22,Fitted
MSC Madeleine,9305702,In Service,Hybrid,25. Jun 22,Fitted
Al Qibla Express,9525924,In Service,Open Loop,22. Jun 22,Fitted
Pelopidas,9501071,In Service,Open Loop,22. Jun 22,Fitted
Berge Townsend,9567063,In Service,Open Loop,22. Jun 22,Fitted
Front Crystal,9743186,In Service,Open Loop,22. Jun 22,Fitted
Berge Broad Peak,9374832,In Service,Open Loop,21. Jun 22,Fitted
World Swan II,9344045,In Service,Open Loop,20. Jun 22,Fitted
AOM Gaia,9623702,In Service,Open Loop,20. Jun 22,Fitted
MSC Ines,9305714,In Service,Hybrid,17. Jun 22,Fitted
Ghat,9930105,In Service,Open Loop,17. Jun 22,Fitted
Maersk Singapore,9308649,In Service,Open Loop,16. Jun 22,Fitted
Attikos,9592783,In Service,Open Loop,15. Jun 22,Fitted
MSC Dymphna,9110391,In Service,Open Loop,14. Jun 22,Fitted
Glovis Advance,9590606,In Service,Open Loop,13. Jun 22,Fitted
CMA CGM Volga,9705081,In Service,Hybrid,13. Jun 22,Fitted
Ever Lotus,9604122,In Service,Open Loop,12. Jun 22,Fitted
OOCL Yokohama,9329538,In Service,TBC,12. Jun 22,Fitted
MSC Vidhi,9238739,In Service,Hybrid,11. Jun 22,Fitted
African Cheetah,9636462,In Service,Open Loop,11. Jun 22,Fitted
Ryman,9777931,In Service,Open Loop,11. Jun 22,Fitted
STI Supreme,9719721,In Service,Open Loop,07. Jun 22,Fitted
Hafnia Experience,9735610,In Service,Open Loop,05. Jun 22,Fitted
Torm Venture,9307798,In Service,Open Loop,05. Jun 22,Fitted
Star Spirit,9765847,In Service,Open Loop,30. May 22,Fitted
Gas Stella,9765562,In Service,Open Loop,29. May 22,Fitted
Cauquenes,9687552,In Service,Open Loop,28. May 22,Fitted
MSC Noa,9398228,In Service,Hybrid,25. May 22,Fitted
MSC Texas,9318058,In Service,Hybrid,22. May 22,Fitted
MSC Beijing,9289099,In Service,Hybrid,21. May 22,Fitted
African Batis,9806110,In Service,Open Loop,21. May 22,Fitted
Hong Kong Spirit,9602289,In Service,Open Loop,15. May 22,Fitted
VLCC Stephanie,9534042,In Service,Open Loop,15. May 22,Fitted
Kota Cahaya,9494589,In Service,Open Loop,13. May 22,Fitted
Maersk Kwangyang,9858747,In Service,Open Loop,11. May 22,Fitted
Glovis Century,9590589,In Service,Open Loop,08. May 22,Fitted
MSC Alina,9695016,In Service,Open Loop,08. May 22,Fitted
Ingrid,9529956,In Service,Open Loop,06. May 22,Fitted
Unayzah Express,9525871,In Service,Open Loop,06. May 22,Fitted
Ocean Draco,9755919,In Service,Open Loop,03. May 22,Fitted
Falcon Express,9326366,In Service,Open Loop,01. May 22,Fitted
Parkgracht,9424546,In Service,Open Loop,29. Apr 22,Fitted
CMA CGM Rodolphe,9729075,In Service,Hybrid,29. Apr 22,Fitted
MSC Capucine R,9210086,In Service,Hybrid,26. Apr 22,Fitted
Iris,9529968,In Service,Open Loop,24. Apr 22,Fitted
Ever Lucent,9629067,In Service,Open Loop,24. Apr 22,Fitted
Endeavor,9312195,In Service,Open Loop,21. Apr 22,Fitted
Sea Honesty,9426116,In Service,Hybrid,17. Apr 22,Fitted
Afales,9619555,In Service,Open Loop,16. Apr 22,Fitted
Hafnia Expedite,9735593,In Service,Open Loop,15. Apr 22,Fitted
Hafnia Exceed,9735608,In Service,Open Loop,15. Apr 22,Fitted
Anwar Trablus,9924089,In Service,Open Loop,15. Apr 22,Fitted
Heemskerkgracht,9443669,In Service,Open Loop,14. Apr 22,Fitted
Njord,9349227,In Service,Open Loop,13. Apr 22,Fitted
OOCL Hong Kong,9776171,In Service,Open Loop,11. Apr 22,Fitted
Ciudad de Mahon,9398890,In Service,Open Loop,03. Apr 22,Fitted
Berge Kebnekaise,9567104,In Service,Open Loop,27. Mar 22,Fitted
Kaimon Maru,9648776,In Service,Open Loop,24. Mar 22,Fitted
CMA CGM Litani,9705055,In Service,Hybrid,23. Mar 22,Fitted
Medi Caboto,9806770,In Service,Open Loop,20. Mar 22,Fitted
Ursus Arctos,9297369,In Service,Open Loop,19. Mar 22,Fitted
MSC Joanna,9304435,In Service,Hybrid,12. Mar 22,Fitted
Pacific Anna,9772010,In Service,Open Loop,10. Mar 22,Fitted
Poolgracht,9448360,In Service,Open Loop,09. Mar 22,Fitted
Ever Legion,9604110,In Service,Open Loop,08. Mar 22,Fitted
Yasa Southern Cross,9534030,In Service,Open Loop,06. Mar 22,Fitted
Bao Lucky,9602837,In Service,Open Loop,03. Mar 22,Fitted
Front Duchess,9771341,In Service,Open Loop,01. Mar 22,Fitted
Khuna Bhum,9796286,In Service,Open Loop,28. Feb 22,Fitted
Cochrane,9687540,In Service,Open Loop,18. Feb 22,Fitted
MSC Jessenia R,9215672,In Service,Hybrid,16. Feb 22,Fitted
Voyager of the Seas,9161716,In Service,Hybrid,15. Feb 22,Fitted
Hafnia Excelsior,9735581,In Service,Open Loop,14. Feb 22,Fitted
Diamond Princess,9228198,In Service,Open Loop,12. Feb 22,Fitted
Elbhoff,9770646,In Service,Open Loop,06. Feb 22,Fitted
MSC Surabaya VIII,9330068,In Service,Hybrid,01. Feb 22,Fitted
Alula Express,9525883,In Service,Open Loop,30. Jan 22,Fitted
Delta Kanaris,9429015,In Service,Open Loop,27. Jan 22,Fitted
Hafnia Excel,9735579,In Service,Open Loop,22. Jan 22,Fitted
Polar Bright,9732395,In Service,Open Loop,20. Jan 22,Fitted
Tangier Express,9525900,In Service,Open Loop,19. Jan 22,Fitted
La Suprema,9214288,In Service,Hybrid,17. Jan 22,Fitted
Genco Ranger,9743289,In Service,Open Loop,11. Jan 22,Fitted
Pacific Nafsika,9732278,In Service,Open Loop,10. Jan 22,Fitted
Heung-A Hochiminh,9760299,In Service,Open Loop,09. Jan 22,Fitted
Bouboulina,9298753,In Service,Open Loop,09. Jan 22,Fitted
Ocean II,9233777,In Service,Open Loop,08. Jan 22,Fitted
CMA CGM T. Roosevelt,9780873,In Service,Hybrid,08. Jan 22,Fitted
Rebekah,9589138,In Service,Open Loop,07. Jan 22,Fitted
ONE Trust,9769283,In Service,Open Loop,05. Jan 22,Fitted
Ciudad de Palma,9349772,In Service,Open Loop,05. Jan 22,Fitted
CS Standard,9438509,In Service,Open Loop,04. Jan 22,Fitted
MSC Katyayni,9110389,In Service,Open Loop,02. Jan 22,Fitted
Celebrity Equinox,9372456,In Service,Hybrid,01. Jan 22,Fitted
CMA CGM Niagara,9722675,In Service,Hybrid,30. Dec 21,Fitted
Ken Spirit,9538971,In Service,Open Loop,28. Dec 21,Fitted
Stena Baltica,9329851,In Service,Hybrid,22. Dec 21,Fitted
CMA CGM Carl Antoine,9729087,In Service,Hybrid,21. Dec 21,Fitted
Eagle Express,9343431,In Service,Open Loop,20. Dec 21,Fitted
KMTC Delhi,9409182,In Service,Open Loop,18. Dec 21,Fitted
Sea Dawn,9711937,In Service,Open Loop,18. Dec 21,Fitted
MSC Tianping,9305489,In Service,Hybrid,15. Dec 21,Fitted
Shinzan Maru,9770581,In Service,Open Loop,14. Dec 21,Fitted
HL Hadong,9708631,In Service,Open Loop,08. Dec 21,Fitted
Samsara,9792228,In Service,Open Loop,07. Dec 21,Fitted
Maran Lupus,9418066,In Service,Open Loop,03. Dec 21,Fitted
Figaro,9505041,In Service,Hybrid,02. Dec 21,Fitted
Genco Reliance,9743291,In Service,Open Loop,02. Dec 21,Fitted
AOM Bianca,9728215,In Service,Open Loop,30. Nov 21,Fitted
Maran Taurus,9519494,In Service,Open Loop,30. Nov 21,Fitted
Bulk Malaysia,9659842,In Service,Open Loop,28. Nov 21,Fitted
Coyhaique,9687588,In Service,Open Loop,25. Nov 21,Fitted
Tigani,9776767,In Service,Open Loop,24. Nov 21,Fitted
Searuby,9759795,In Service,Closed Loop,24. Nov 21,Fitted
MSC Santhya,8913411,In Service,Hybrid,22. Nov 21,Fitted
FPMC C Melody,9406178,In Service,Open Loop,20. Nov 21,Fitted
DHT Opal,9455662,In Service,Open Loop,20. Nov 21,Fitted
Titania,9505053,In Service,Hybrid,18. Nov 21,Fitted
Pacific A. Dorodchi,9732266,In Service,Open Loop,15. Nov 21,Fitted
Front Duke,9771339,In Service,Open Loop,12. Nov 21,Fitted
YM Ubiquity,9462706,In Service,Open Loop,12. Nov 21,Fitted
MSC Valeria,9461439,In Service,Hybrid,08. Nov 21,Fitted
CS Quality,9438494,In Service,Open Loop,07. Nov 21,Fitted
Globe Atlas,9765550,In Service,Open Loop,05. Nov 21,Fitted
Nord Jewel,9814167,In Service,Open Loop,05. Nov 21,Fitted
Malibu,9776731,In Service,Open Loop,04. Nov 21,Fitted
Delta Harmony,9408463,In Service,TBC,31. Oct 21,Fitted
Maran Lyra,9559406,In Service,Open Loop,30. Oct 21,Fitted
Bulk Poland,9682863,In Service,Open Loop,28. Oct 21,Fitted
Rivera,9777943,In Service,Open Loop,27. Oct 21,Fitted
Ain Snan Express,9525869,In Service,Open Loop,27. Oct 21,Fitted
Corfu',9349758,In Service,Open Loop,27. Oct 21,Fitted
Corona Zenith,9851309,In Service,Open Loop,27. Oct 21,Fitted
Ever Legacy,9595515,In Service,Open Loop,26. Oct 21,Fitted
Alicante,9527855,In Service,Open Loop,23. Oct 21,Fitted
CSL Kajika,9710579,In Service,Open Loop,22. Oct 21,Fitted
Berge McClintock,9590852,In Service,Open Loop,21. Oct 21,Fitted
Delta Aigaion,9516923,In Service,Open Loop,21. Oct 21,Fitted
Winning Wealth,9362994,In Service,Open Loop,21. Oct 21,Fitted
YM Upsurgence,9462720,In Service,Open Loop,21. Oct 21,Fitted
Delta Tolmi,9429027,In Service,Open Loop,21. Oct 21,Fitted
Prinsengracht,9448372,In Service,Open Loop,21. Oct 21,Fitted
MSC Renee,9465306,In Service,Hybrid,20. Oct 21,Fitted
Heung-A Bangkok,9760287,In Service,Open Loop,19. Oct 21,Fitted
MSC Margrit,9465318,In Service,Hybrid,15. Oct 21,Fitted
BBG Master,9721982,In Service,Open Loop,14. Oct 21,Fitted
Maran Lynx,9534016,In Service,Open Loop,12. Oct 21,Fitted
DHT China,9315161,In Service,Open Loop,10. Oct 21,Fitted
Genting Dream,9733105,In Service,Hybrid,10. Oct 21,Fitted
Copiapo,9687526,In Service,Open Loop,09. Oct 21,Fitted
Happy Sky,9457220,In Service,Open Loop,08. Oct 21,Fitted
Blue Star Chios,9215555,In Service,Open Loop,07. Oct 21,Fitted
Glovis Solomon,9445409,In Service,Open Loop,06. Oct 21,Fitted
Stena Immortal,9685475,In Service,Open Loop,06. Oct 21,Fitted
Elly Maersk,9321536,In Service,Open Loop,03. Oct 21,Fitted
Pine Gas,9315680,In Service,Open Loop,02. Oct 21,Fitted
Lydia II,9365776,In Service,Open Loop,02. Oct 21,Fitted
Matala,9776743,In Service,Open Loop,01. Oct 21,Fitted
Fu Hai Hong,9613666,In Service,Open Loop,30. Sep 21,Fitted
Berge Nanga Parbat,9578622,In Service,Open Loop,28. Sep 21,Fitted
DSI Drammen,9775141,In Service,Open Loop,28. Sep 21,Fitted
El Djazair II,9265421,In Service,Closed Loop,24. Sep 21,Fitted
Calida,9522128,In Service,Open Loop,23. Sep 21,Fitted
MSC Trieste,9484479,In Service,Hybrid,22. Sep 21,Fitted
ASP Jewels,9732254,In Service,Open Loop,22. Sep 21,Fitted
Stamos,9592276,In Service,Open Loop,17. Sep 21,Fitted
Grande Amburgo,9246607,In Service,Open Loop,16. Sep 21,Fitted
Stolt Confidence,9102071,In Service,Open Loop,16. Sep 21,Fitted
Glovis Spring,9749594,In Service,Open Loop,11. Sep 21,Fitted
ML Freyja,9799977,In Service,Open Loop,11. Sep 21,Fitted
GSL Alice,9509164,In Service,Open Loop,10. Sep 21,Fitted
Marquette,9732785,In Service,Open Loop,05. Sep 21,Fitted
Frisian Ocean,9385922,In Service,Open Loop,02. Sep 21,Fitted
Maran Artemis,9753002,In Service,Open Loop,01. Sep 21,Fitted
CSL Koasek,9710567,In Service,Open Loop,31. Aug 21,Fitted
Thuleland,9343261,In Service,TBC,30. Aug 21,Fitted
Ken Ei,9538983,In Service,Open Loop,29. Aug 21,Fitted
Jubilant Dream,9767508,In Service,Open Loop,21. Aug 21,Fitted
Ever Logic,9604081,In Service,TBC,19. Aug 21,Fitted
CMA CGM Thames,9674567,In Service,Hybrid,16. Aug 21,Fitted
Eneos Arrow,9814129,In Service,Open Loop,16. Aug 21,Fitted
Cautin,9687538,In Service,Open Loop,15. Aug 21,Fitted
MSC Sines R,9210098,In Service,Hybrid,14. Aug 21,Fitted
YM Unanimity,9462718,In Service,Open Loop,13. Aug 21,Fitted
Athens Glory,9247766,In Service,Hybrid,08. Aug 21,Fitted
Sealoyalty,9783928,In Service,Open Loop,07. Aug 21,Fitted
Dream Star,9582996,In Service,Open Loop,05. Aug 21,Fitted
Plantijngracht,9424572,In Service,Open Loop,02. Aug 21,Fitted
Mareta,9537927,In Service,Open Loop,31. Jul 21,Fitted
MSC Susanna,9290543,In Service,Hybrid,31. Jul 21,Fitted
True Crusader,9693587,In Service,Open Loop,30. Jul 21,Fitted
Kisogawa,9805087,In Service,Open Loop,26. Jul 21,Fitted
Humber Sprinter,9467172,In Service,Open Loop,24. Jul 21,Fitted
YM Unicorn,9462732,In Service,Open Loop,23. Jul 21,Fitted
Seaways Liberty,9727027,In Service,Open Loop,21. Jul 21,Fitted
Maersk Sheerness,9299939,In Service,Open Loop,20. Jul 21,Fitted
Grande Ellade,9220627,In Service,Open Loop,18. Jul 21,Fitted
Nafees,9830800,In Service,Open Loop,18. Jul 21,Fitted
ASP Treasures,9732242,In Service,Open Loop,15. Jul 21,Fitted
Seavigour,9774185,In Service,Open Loop,13. Jul 21,Fitted
Jag Anand,9463308,In Service,Open Loop,12. Jul 21,Fitted
Grande Buenos Aires,9253210,In Service,Open Loop,12. Jul 21,Fitted
AS Carolina,9314935,In Service,Open Loop,11. Jul 21,Fitted
FPMC C Noble,9419955,In Service,Open Loop,09. Jul 21,Fitted
Happy River,9139294,In Service,Open Loop,06. Jul 21,Fitted
Andronikos,9830812,In Service,Open Loop,04. Jul 21,Fitted
ONE Tradition,9769300,In Service,Open Loop,30. Jun 21,Fitted
MSC Phoenix,9267649,In Service,Hybrid,30. Jun 21,Fitted
Eugen Maersk,9321550,In Service,Open Loop,27. Jun 21,Fitted
Dijilah,9829629,In Service,Open Loop,26. Jun 21,Fitted
Ligurian Sea,9577032,In Service,Open Loop,26. Jun 21,Fitted
Salam,9733818,In Service,Open Loop,24. Jun 21,Fitted
MSC Donata,9237151,In Service,Hybrid,24. Jun 21,Fitted
Glovis Sirius,9749582,In Service,Open Loop,21. Jun 21,Fitted
Honiara Chief,9861902,In Service,Open Loop,21. Jun 21,Fitted
Grande Roma,9247936,In Service,Open Loop,19. Jun 21,Fitted
