Type,Built,Status,Company,Group Company,Operator,Builder,Flag State,SOx Scrubber Status,Power Type,Current Global Zone,Current National Waters,Name,GT,Dwt,MMSI (Maritime Mobile Service Identity),IMO Number,Speed (knots),Engine Derived Total Main Engine Mechanical kW
Bulk Carrier,2014,In Service,New Shipping,New Shipping,Oldendorff Carriers,Shanghai Waigaoqiao,Liberia,Fitted,Diesel 2-Stroke,Australasia,Australia,Marlene Oldendorff,"108,051","208,003",636016351,9678824,14.40,"16,400"
Tanker,2003,In Service,Amarine Ship Mngt,Amarine Ship Mngt,Amarine Ship Mngt,Daewoo (DSME),Panama,Fitted,Diesel 2-Stroke,East Asia,,An Shun II,"158,993","298,717",356569000,9253117,15.30,"25,480"
Bulk Carrier,2013,In Service,Oceanbulk Maritime,Oceanbulk Maritime,Oceanbulk Maritime,Jiangsu New YZJ,Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,,Giacometti,"44,980","81,713",636017984,9615377,14.10,"9,500"
Bulk Carrier,2010,In Service,Kondinave,Kondinave,Kondinave,Imabari SB Marugame,Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,Panopi,"48,022","88,299",636020601,9554183,14.50,"12,231"
Fully Cellular Container,2023,In Service,Briese Schiffahrts,Briese Schiffahrts,Aladin Express,Huangpu Wenchong,Antigua & B.,Fitted,Diesel 2-Stroke,Indian Subcontinent,,Borkum,"18,491","24,744",305563000,9937397,18.50,"10,380"
Product Carrier,2019,In Service,Oceangold Tankers,Oceangold Tankers,Clearlake Shpg,Daehan Shipbuilding,Liberia,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,Clearocean Apollon,"61,060","113,252",636019153,9850707,12.50,"13,451"
Bulk Carrier,2007,In Service,Luck Ship,Zhejiang Kaishun,Luck Ship,Shanghai Waigaoqiao,Panama,Pending,Diesel 2-Stroke,South East Asia,,Lucky Carina,"91,373","177,947",352004600,9429869,10.00,"16,852"
Fully Cellular Container,2010,In Service,MSC,MSC,MSC,Samsung HI,Panama,Fitted,Diesel 2-Stroke,East Asia,,MSC Eva,"151,559","156,301",371218000,9401130,23.50,"72,240"
Fully Cellular Container,2019,In Service,Shoei Kisen Kaisha,Imabari SB,Evergreen Marine,Imabari SB Marugame,Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,,Ever Gentle,"217,612","199,489",636019174,9820922,22.80,"59,300"
Bulk Carrier,2019,In Service,ASM Maritime BV,ASM Maritime BV,Oldendorff Carriers,Dalian COSCO KHI,Liberia,Fitted,Diesel 2-Stroke,United Kingdom/Continent,Russia,Jens Oldendorff,"34,508","61,139",636022830,9852028,14.50,"8,130"
Fully Cellular Container,2023,In Service,Briese Schiffahrts,Briese Schiffahrts,RCL,Huangpu Wenchong,Antigua & B.,Fitted,Diesel 2-Stroke,South East Asia,Thailand,Palawan,"18,491","24,744",305567000,9937402,18.50,"10,380"
Product Carrier,2009,In Service,Colonial Navigation,Colonial Navigation,Colonial Navigation,Sungdong SB,Liberia,Fitted,Diesel 2-Stroke,Middle East,,Ellie Lady,"62,491","109,999",636014423,9390173,12.00,"14,280"
Fully Cellular Container,2014,In Service,Evergreen Marine,Evergreen Marine,Evergreen Marine,Samsung HI,United Kingdom,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,Greece,Ever Lenient,"99,995","104,409",235102677,9604146,24.50,"56,070"
Ore Carrier,2013,In Service,Asyad Shipping,Asyad Shipping,Vale,Jiangsu Rongsheng,Marshall Is.,Fitted,Diesel 2-Stroke,West Coast Africa,,Shinas Max,"201,336","400,285",538004899,9566538,14.80,"29,400"
Fully Cellular Container,2013,In Service,T.S. Lines,T.S. Lines,T.S. Lines,Jiangsu New YZJ,Marshall Is.,Fitted,Diesel 2-Stroke,Indian Subcontinent,India,TS Sydney,"48,338","58,170",538009373,9477385,21.70,"27,060"
Tanker,2010,In Service,Dynacom Tankers Mgmt,Dynacom,Dynacom Tankers Mgmt,New Times SB,Liberia,Pending,Diesel 2-Stroke,Middle East,Egypt,Tony,"85,496","162,342",636014499,9432036,15.30,"18,686"
Chemical & Oil Carrier,2014,In Service,Ardmore Shipping,Ardmore Shipping,Ardmore Shipping,STX SB (Jinhae),Marshall Is.,Fitted,Diesel 2-Stroke,West Coast North America,United States,Ardmore Engineer,"30,037","49,420",538005094,9654787,14.00,"7,260"
Fully Cellular Container,2004,In Service,MSC,MSC,MSC,Shanghai Shipyard,Panama,Fitted,Diesel 2-Stroke,East Coast Africa,South Africa,MSC Banu III,"35,954","48,015",372972000,9263332,22.70,"31,990"
Fully Cellular Container,2014,In Service,Maersk,A.P. Moller,Maersk,Daewoo (DSME),Danish Int'l,Fitted,Hybrid Mech./Elec.,United Kingdom/Continent,,Mogens Maersk,"194,849","194,679",220010000,9632090,23.00,"46,620"
Bulk Carrier,2020,In Service,Lemissoler Group,Lemissoler Group,Lemissoler Group,New Times SB,Marshall Is.,Fitted,Diesel 2-Stroke,East Asia,,LEM Marigold,"36,781","64,663",538008590,9845805,14.20,"7,500"
Fully Cellular Container,2014,In Service,HMM,HMM,HMM,Daewoo (DSME),South Korea,Fitted,Diesel 2-Stroke,East Coast North America,Panama,HMM Drive,"141,868","145,979",440009000,9637246,22.80,"58,100"
LPG Carrier,2019,In Service,Kumiai Navigation,Kumiai Senpaku,Equinor,Sasaki Zosen,Singapore,Fitted,Diesel 4-Stroke,United Kingdom/Continent,,Crystal Lavender,"4,324","4,900",563090100,9851610,13.40,"2,840"
Fully Cellular Container,2008,In Service,KMTC,KMTC,KMTC,Samsung HI,South Korea,Fitted,Diesel 2-Stroke,East Asia,,KMTC Chennai,"40,081","51,701",440838000,9375513,24.00,"40,040"
Cruise Ship,2010,In Service,Aida Cruises,Carnival Corporation,Aida Cruises,Meyer Werft,Italy,Fitted,Diesel Electric,West Coast Africa,Spain,AIDAblu,"71,304","7,889",247282500,9398888,21.80,"36,000"
Tanker,2019,In Service,HMM,HMM,Trafigura Maritime,Daewoo (DSME),Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,,Universal Challenger,"156,452","300,300",636021022,9851854,11.90,"24,510"
Tanker,2020,In Service,SK Shipping,SK Shipping,SK Shipping,Daewoo (DSME),Liberia,Fitted,Diesel 2-Stroke,East Coast North America,,C. Creator,"156,452","300,000",636020920,9859387,14.86,"24,510"
Fully Cellular Container,2013,In Service,D. Oltmann,D. Oltmann,Maersk,Sungdong SB,Liberia,Fitted,Diesel 2-Stroke,South East Asia,,RDO Liberty,"36,600","48,997",636093114,9631113,21.00,"27,180"
Fully Cellular Container,2015,Idle,OOCL,China COSCO Shipping,OOCL,Hudong Zhonghua,Hong Kong,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,OOCL Genoa,"90,757","101,400",477454900,9613587,25.00,"58,100"
Cruise Ship,2013,Repairs,NCL,NCL Holdings,NCL,Meyer Werft,Bahamas,Fitted,Diesel Electric,United Kingdom/Continent,United Kingdom,Norwegian Breakaway,"145,655","11,000",311050800,9606912,22.00,"62,400"
Tanker,2018,In Service,Maran Tankers Mgmt,Angelicoussis Group,Maran Tankers Mgmt,Daewoo (DSME),Greece,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,Maran Atalanta,"161,287","319,398",241577000,9810393,15.30,"25,330"
Bulk Carrier,2013,In Service,U-Ming Marine,Far Eastern Group,U-Ming Marine,Shanghai Waigaoqiao,Singapore,Fitted,Diesel 2-Stroke,East Coast Africa,,Cape Stars,"106,816","206,068",563162000,9631321,11.80,"18,660"
Bulk Carrier,2012,In Service,Costamare Shipping,Costamare Shipping,Costamare Shipping,Zhejiang Ouhua SB,Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,Farmer,"44,289","81,541",636020874,9589267,14.50,"10,750"
Bulk Carrier,2015,In Service,Navios MLP,Navios Holdings,Navios MLP,JMU Tsu Shipyard,Panama,Fitted,Diesel 2-Stroke,East Asia,,Navios Amber,"43,291","80,994",351539000,9736341,13.50,"8,880"
Fully Cellular Container,2010,Repairs,OOCL,China COSCO Shipping,OOCL,Samsung HI,Hong Kong,Fitted,Diesel 2-Stroke,East Asia,,OOCL Charleston,"40,168","50,500",477655800,9461790,24.00,"36,540"
Fully Cellular Container,2013,In Service,PIL,PIL,PIL,Dalian Shipbuilding,Singapore,Fitted,Diesel 2-Stroke,South East Asia,,Kota Loceng,"39,900","51,822",563267000,9628336,22.50,"27,420"
Bulk Carrier,2019,In Service,Wisdom Marine Group,Wisdom Marine Group,Wisdom Marine Group,Dalian COSCO KHI,Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,,Amis Star,"34,654","61,123",636019537,9865350,13.50,"8,130"
Bulk Carrier,2022,In Service,CDB Leasing,China Dev Bank (CDB),RWE,Qingdao Beihai SB,Hong Kong,Fitted,Diesel 2-Stroke,West Coast Africa,,Shandong Development,"109,391","207,995",477793300,9911240,14.50,"15,300"
Tanker,2019,In Service,ADNOC L&S,ADNOC,Navig8 Shipmgmt,Daewoo (DSME),Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,Hili,"156,237","300,300",636020754,9851830,14.80,"24,510"
Tanker,2015,In Service,Frontline,Fredriksen Group,Frontline,Jiangsu Rongsheng,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast North America,,Front Idun,"81,670","156,849",538005762,9600944,14.80,"16,860"
Tanker,2012,In Service,Oak Maritime Canada,Oak Maritime Group,Tankers Int Scrubber,SCS Shipbuilding,Marshall Is.,Fitted,Diesel 2-Stroke,South East Asia,,Kondor,"156,651","297,974",538009091,9610250,15.40,"25,480"
Ro-Ro,2022,In Service,Finnlines Plc,Grimaldi Group,Finnlines Plc,CMJL (Nanjing),Finland,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,Finneco III,"60,515","17,309",230700000,9856854,20.70,"25,560"
Chemical & Oil Carrier,2020,In Service,Lepta Shipping,Mitsui & Co,ExxonMobil,Samsung HI,Singapore,Fitted,Diesel 2-Stroke,East Coast North America,United States,Harrisburg,"30,087","50,192",563113400,9859210,14.50,"6,875"
Fully Cellular Container,2013,In Service,Poseidon Containers,Global Ship Lease,Hapag-Lloyd,Hyundai Samho HI,Marshall Is.,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,Nigaragua Express,"71,021","80,350",538004912,9635676,15.00,"36,080"
Fully Cellular Container,2013,In Service,Maersk,A.P. Moller,Maersk,Daewoo (DSME),Danish Int'l,Fitted,Hybrid Mech./Elec.,East Coast Africa,,Majestic Maersk,"194,849","194,431",219018501,9619919,23.00,"59,360"
Bulk Carrier,2011,In Service,NYK Line,NYK Line,NYK Line,Hyundai HI (Gunsan),Japan,Fitted,Diesel 2-Stroke,West Coast Africa,,Frontier Harvest,"93,228","179,420",431014000,9487976,15.30,"18,660"
Tanker,2019,In Service,Eastern Pacific Shpg,Eastern Pacific Shpg,,HHIC-Phil (Subic SY),Liberia,Fitted,Diesel 2-Stroke,East Asia,,Tyrrhenian Sea,"63,416","114,218",636019072,9829100,14.00,"13,500"
Bulk Carrier,2020,In Service,Wisdom Marine Group,Wisdom Marine Group,Wisdom Marine Group,Kawasaki HI Sakaide,Panama,Fitted,Diesel 2-Stroke,West Coast North America,,Royal Orion,"34,793","61,170",355452000,9875733,14.50,"8,130"
Fully Cellular Container,2013,In Service,Evergreen Marine,Evergreen Marine,Evergreen Marine,Samsung HI,Singapore,Fitted,Diesel 2-Stroke,West Coast North America,,Ever Legacy,"99,995","104,409",566853000,9595515,24.70,"56,070"
Fully Cellular Container,2016,In Service,"Tamke, Dietrich, KG","Tamke, Dietrich, KG",Maersk,CSC Jinling Shipyard,Germany,Fitted,Diesel 2-Stroke,Middle East,Oman,Wiking,"48,802","57,500",218549000,9708382,22.00,"27,060"
Cruise Ship,2011,In Service,Celebrity Cruises,Royal Caribbean,Celebrity Cruises,Meyer Werft,Malta,Fitted,Diesel Electric,East Coast North America,Bahamas,Celebrity Silhouette,"122,210","9,500",248939000,9451094,24.00,"67,200"
Fully Cellular Container,2013,In Service,Capital Clean ECC,Capital Maritime,HMM,Hyundai HI (Gunsan),Liberia,Fitted,Diesel 2-Stroke,South East Asia,Singapore,Hyundai Platinum,"52,400","62,335",636016038,9637155,21.90,"27,120"
Bulk Carrier,2020,In Service,Foremost Maritime,Foremost Maritime,Foremost Maritime,Shanghai Waigaoqiao,Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,Su May,"109,529","207,996",636018651,9847097,14.69,"15,745"
Tanker,2021,In Service,Pan Ocean,Pan Ocean,Pan Ocean,Daewoo (DSME),Panama,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,Grand Bonanza,"156,392","299,988",352978156,9915569,14.80,"22,210"
LPG Carrier,2019,In Service,Solvang ASA,Solvang ASA,Solvang ASA,Hyundai Samho HI,Norwegian Int'l,Fitted,Diesel 2-Stroke,East Coast North America,Panama,Clipper Explorer,"46,668","50,513",257968000,9852949,16.80,"13,500"
Product Carrier,2013,In Service,Dynacom Tankers Mgmt,Dynacom,Dynacom Tankers Mgmt,New Times SB,Malta,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,,Odessa,"85,436","149,999",229070000,9633458,15.30,"18,660"
Fully Cellular Container,2011,In Service,Peter Dohle,Peter Dohle,Hapag-Lloyd,Samsung HI,Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,Mundra Express,"113,515","118,712",636093292,9408865,25.10,"68,640"
Cruise Ship,2024,In Service,Viking Ocean Cruises,Viking Holding,Viking Ocean Cruises,Fincantieri Ancona,Norwegian Int'l,Fitted,Fuel Cell & Diesel,United Kingdom/Continent,Norway,Viking Vela,"54,300","4,900",257526000,9852432,20.00,"23,520"
Bulk Carrier,2020,In Service,CDB Leasing,China Dev Bank (CDB),Oldendorff Carriers,Jiangsu New Hantong,Liberia,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,Kilian Oldendorff,"44,109","81,246",636019971,9863089,14.30,"9,930"
Cruise Ship,2017,In Service,Aida Cruises,Carnival Corporation,Aida Cruises,MHI Nagasaki,Italy,Fitted,Diesel Electric,East Coast North America,Dominican Republic,AIDAperla,"125,572","9,200",247385300,9636967,14.00,"46,800"
Fully Cellular Container,2015,In Service,Maersk,A.P. Moller,Maersk,Daewoo (DSME),Danish Int'l,Fitted,Hybrid Mech./Elec.,South East Asia,,Marchen Maersk,"194,849","194,898",219630000,9632143,23.00,"46,620"
Bulk Carrier,2020,In Service,YZJ Shipping,Yangzijiang Holdings,,Jiangsu New YZJ,Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,,Yangze 17,"44,698","82,000",636020110,9893759,14.30,"9,000"
Product Carrier,2021,In Service,ADNOC L&S,ADNOC,Navig8 Shipmgmt,Dalian Shipbuilding,Liberia,Fitted,Diesel 2-Stroke,Middle East,Kuwait,Al Khtam,"65,552","114,644",636020895,9823534,14.00,"11,300"
Chemical & Oil Carrier,2020,In Service,Top Ships,Top Ships,Clearlake Shpg,Hyundai Mipo,Marshall Is.,Fitted,Diesel 2-Stroke,United Kingdom/Continent,Poland,Eco Yosemite Park,"29,723","49,999",538008580,9877573,14.40,"5,500"
Chemical & Oil Carrier,2020,In Service,NYK Line,NYK Line,NYK Bulkship,Hyundai Mipo,Marshall Is.,Fitted,Diesel 2-Stroke,Australasia,,Atlantic Prince,"29,356","50,018",538008812,9874662,14.50,"8,630"
Fully Cellular Container,2022,Repairs,CK Line,CK Line,CK Line,Hyundai Mipo,South Korea,Fitted,Diesel 2-Stroke,East Asia,South Korea,Sky Rainbow,"17,944","22,426",440088000,9925722,19.90,"11,960"
Fully Cellular Container,2009,In Service,CMA CGM,CMA CGM,CMA CGM,Daewoo (DSME),Malta,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,CMA CGM Christophe Colomb,"152,991","156,887",215965000,9453559,24.50,"80,080"
Fully Cellular Container,2013,In Service,CMA CGM,CMA CGM,CMA CGM,HHIC-Phil (Subic SY),Malta,Fitted,Diesel 2-Stroke,Mediterranean / Black Sea,Turkey,CMA CGM Tokyo,"69,809","80,905",249172000,9629380,21.00,"27,060"
Bulk Carrier,2020,Idle,Golden Ocean Group,Fredriksen Group,,Shanhaiguan SB,Marshall Is.,Fitted,Diesel 2-Stroke,East Asia,,Golden Friend,"44,094","81,206",538008957,9854301,14.30,"9,933"
Cruise Ship,2000,In Service,Celebrity Cruises,Royal Caribbean,Celebrity Cruises,Ch. de l'Atlantique,Malta,Fitted,Gas Turbine,East Asia,,Celebrity Millennium,"90,963","11,928",249055000,9189419,24.00,"50,000"
Fully Cellular Container,2020,In Service,Zodiac Maritime,Zodiac Maritime,MSC,Hyundai HI (Ulsan),Madeira,Fitted,Diesel 2-Stroke,East Coast Africa,,MSC Auriga,"149,525","158,097",255806338,9857183,22.00,"43,505"
Tanker,2011,In Service,NYK Line,NYK Line,NYK Line,I.H.I. (Kure),Japan,Fitted,Diesel 2-Stroke,South East Asia,Indonesia,Takaoka,"157,961","311,061",431385000,9478664,15.50,"27,160"
Bulk Carrier,2014,In Service,Shanghai Justy,Shanghai Justy,Shanghai Justy,COSCO Zhoushan,Liberia,Pending,Diesel 2-Stroke,East Coast Africa,,Jade Prosperity,"36,353","63,756",636023631,9656096,14.40,"8,050"
Bulk Carrier,2021,In Service,Golden Ocean Group,Fredriksen Group,Golden Ocean Group,Shanhaiguan SB,Marshall Is.,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,Golden Freeze,"44,094","81,135",538009115,9849904,14.30,"9,933"
Fully Cellular Container,2020,In Service,XT Shipping,XT Group,Caribbean Feeder,Hyundai Mipo,Singapore,Fitted,Diesel 2-Stroke,East Coast North America,Dominican Republic,Green Forest,"17,954","22,329",563095800,9865972,19.00,"10,910"
Bulk Carrier,2013,Idle,Sugahara Kisen,Sugahara Kisen,,JMU Tsu Shipyard,Marshall Is.,Fitted,Diesel 2-Stroke,West Coast South America,Peru,Prosper Sunwaito,"106,368","206,478",538004987,9608441,16.90,"16,810"
Bulk Carrier,2014,In Service,Shandong Shipping,Shandong Marine,Shandong Shipping,Beihai Shipyard,Hong Kong,Fitted,Diesel 2-Stroke,West Coast Africa,,Shandong Hua Zhang,"94,710","179,965",477257600,9621168,15.00,"17,153"
Bulk Carrier,2021,In Service,Norden A/S,Norden A/S,Norden A/S,Shanghai Waigaoqiao,Danish Int'l,Fitted,Diesel 2-Stroke,South East Asia,,Nord Aurum,"109,555","209,301",219727000,9906037,14.50,"15,745"
Product Carrier,2018,In Service,Vitol Intl Shpg,Vitol Group,Vitol Intl Shpg,Daehan Shipbuilding,Liberia,Fitted,Diesel 2-Stroke,South East Asia,Papua New Guinea,Elandra Bay,"62,370","109,891",636019296,9821691,15.00,"13,450"
Tanker,2020,In Service,Asyad Shipping,Asyad Shipping,Asyad Shipping,Daewoo (DSME),Marshall Is.,Fitted,Diesel 2-Stroke,Indian Subcontinent,,Bahla,"158,513","299,997",538009083,9870812,14.50,"24,510"
Bulk Carrier,2020,In Service,Misuga Kaiun Co Ltd,Misuga Kaiun Co Ltd,Misuga Kaiun Co Ltd,Nantong COSCO KHI,Panama,Fitted,Diesel 2-Stroke,South East Asia,,Energy Cosmos,"44,170","81,982",355414000,9878151,14.50,"9,670"
Tanker,2009,In Service,Delta Tankers,Marmaras Navigation,Delta Tankers,Hyundai Samho HI,Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,,Delta Hellas,"81,360","157,583",636024606,9406673,15.80,"18,660"
Bulk Carrier,2019,In Service,TSL Group,TSL Group,TSL Group,New Dayang SB,Marshall Is.,Pending,Diesel 2-Stroke,East Coast Africa,,Top Fortune,"35,812","63,301",538006653,9719654,14.50,"8,300"
Bulk Carrier,2014,In Service,Dryships,Dryships,Dryships,Qingdao Yangfan Ind,Malta,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Marini,"107,162","205,855",248173000,9639529,14.50,"16,860"
Bulk Carrier,2020,In Service,Star Bulk Carriers,Star Bulk Carriers,Star Bulk Carriers,COSCO HI (Yangzhou),Liberia,Fitted,Diesel 2-Stroke,East Asia,People's Republic Of China,Star Vancouver,"36,551","63,670",636024333,9855850,11.50,"8,050"
Pass./Car Ferry,2000,In Service,Grimaldi Group,Grimaldi Group,Grimaldi Group,Fincantieri Sestri,Italy,Fitted,Diesel 4-Stroke,Mediterranean / Black Sea,,Cruise Bonaria,"24,004","7,440",247415200,9204063,29.50,"67,195"
Fully Cellular Container,2020,In Service,HMM,HMM,HMM,Samsung HI,South Korea,Fitted,Diesel 2-Stroke,United Kingdom/Continent,,HMM Southampton,"232,311","229,039",440363000,9868340,22.25,"59,600"
Fully Cellular Container,2013,In Service,MSC,MSC,MSC,Jiangnan Changxing,Madeira,Fitted,Diesel 2-Stroke,East Coast South America,Brazil,MSC Dakar X,"94,402","111,862",255915617,9605231,22.00,"52,290"
Bulk Carrier,2014,In Service,Oak Maritime Canada,Oak Maritime Group,Sincere Navigation,SCS Shipbuilding,Hong Kong,Fitted,Diesel 2-Stroke,East Asia,,Oceana,"43,962","81,600",477300700,9667095,14.50,"9,930"
Fully Cellular Container,2019,In Service,Zodiac Maritime,Zodiac Maritime,MSC,Hyundai HI (Ulsan),Liberia,Fitted,Diesel 2-Stroke,West Coast Africa,Ivory Coast,MSC Jewel,"140,976","150,893",636019207,9842073,22.00,"46,422"
Fully Cellular Container,2020,In Service,XT Shipping,XT Group,RCL,Hyundai Mipo,Singapore,Fitted,Diesel 2-Stroke,East Asia,,Green Earth,"17,930","21,525",563101900,9865984,19.00,"10,910"
Cruise Ship,2014,In Service,Tui Cruises,Tui Cruises,Tui Cruises,STX Finland (Turku),Malta,Fitted,Diesel Electric,United Kingdom/Continent,Norway,Mein Schiff 3,"99,526","7,900",229090000,9641730,21.00,"44,400"
Fully Cellular Container,2013,In Service,PIL,PIL,PIL,Dalian Shipbuilding,Singapore,Fitted,Diesel 2-Stroke,Middle East,Somalia,Kota Lihat,"41,678","51,822",563152300,9628324,22.50,"27,420"
Bulk Carrier,2021,In Service,Eneos Ocean,Eneos Holdings,Eneos Ocean,Dalian COSCO KHI,Japan,Fitted,Diesel 2-Stroke,East Asia,Japan,Juno Avenir,"34,649","60,965",431188000,9899399,14.50,"8,130"
Tanker,2019,In Service,HMM,HMM,HMM,Daewoo (DSME),South Korea,Fitted,Diesel 2-Stroke,East Asia,,Universal Creator,"156,331","299,981",440265000,9837626,14.80,"24,150"
Bulk Carrier,2020,In Service,CDB Leasing,China Dev Bank (CDB),Oldendorff Carriers,COSCO HI (Yangzhou),Liberia,Fitted,Diesel 2-Stroke,East Coast Africa,,Harry Oldendorff,"107,549","208,610",636019630,9870343,14.00,"21,840"
Product Carrier,2021,In Service,Chartworld Shipping,Chartworld Shipping,Maersk Tankers (USA),New Times SB,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast North America,United States,Aifanourios,"64,305","116,015",538009246,9891696,14.50,"11,350"
Tanker,2010,In Service,Intl Seaways,Intl Seaways,Tankers Int Scrubber,Hyundai HI (Ulsan),Marshall Is.,Fitted,Diesel 2-Stroke,Middle East,,Seaways Raffles,"160,502","318,325",538002295,9411032,16.10,"33,250"
Bulk Carrier,2018,In Service,Star Bulk Carriers,Star Bulk Carriers,Star Bulk Carriers,Shanghai Waigaoqiao,Liberia,Fitted,Diesel 2-Stroke,Australasia,Australia,Star Magnanimus,"108,237","207,526",636018305,9731470,13.50,"21,840"
Fully Cellular Container,2015,In Service,Evergreen Marine,Evergreen Marine,Evergreen Marine,CSBC (Kaohsiung),Taiwan,Fitted,Diesel 2-Stroke,West Coast South America,,Ever Lyric,"99,946","104,367",416498000,9629108,24.50,"56,070"
Bulk Carrier,2021,In Service,Golden Ocean Group,Fredriksen Group,Golden Ocean Group,Shanhaiguan SB,Marshall Is.,Fitted,Diesel 2-Stroke,East Coast North America,,Golden Fast,"44,094","80,573",538009293,9860116,14.30,"9,933"
Cruise Ship,2001,In Service,NCL,NCL Holdings,NCL,Lloyd Werft,Bahamas,Fitted,Diesel Electric,South East Asia,,Norwegian Sun,"78,309","7,100",311109000,9218131,20.00,"54,600"
Multi-Purpose,1998,In Service,Rord Braren,Rord Braren,Rord Braren,Peterswerft Wewels,Germany,Fitted,Diesel 4-Stroke,United Kingdom/Continent,Germany,Cellus,"4,231","6,350",211284350,9173317,14.50,"3,472"
Fully Cellular Container,2011,In Service,Dong Jin Shipping,Dong Jin Shipping,Dong Jin Shipping,Dae Sun Shipbuilding,South Korea,Fitted,Diesel 2-Stroke,East Asia,,Dongjin Venus,"9,520","12,844",441805000,9615339,18.00,"7,860"
Cruise Ship,2015,In Service,Viking Ocean Cruises,Viking Holding,Viking Ocean Cruises,Fincantieri Marghera,Norwegian Int'l,Fitted,Diesel Electric,Mediterranean / Black Sea,Greece,Viking Star,"47,842","4,912",257903000,9650418,20.00,"23,520"
Fully Cellular Container,2022,In Service,Shoei Kisen Kaisha,Imabari SB,Yang Ming,Imabari SB Marugame,Liberia,Fitted,Diesel 2-Stroke,West Coast North America,,YM Trillion,"118,523","136,899",636022027,9792709,23.00,"41,080"
Trailing Suction Hopper Dredger,2019,In Service,European Dredging,Jan De Nul Group,European Dredging,Keppel Singmarine,Luxembourg,Fitted,Diesel Electric,United Kingdom/Continent,Belgium,Sanderus,"7,727","6,271",253661000,9830941,12.50,"7,920"
Bulk Carrier,2014,In Service,K-Line Bulk Shpg.,K-Line,K-Line Bulk Shpg.,Kawasaki HI Sakaide,Singapore,Fitted,Diesel 2-Stroke,East Coast Africa,,Falmouth Bay,"33,126","58,616",563196900,9615779,14.45,"8,630"
Fully Cellular Container,2014,In Service,Kyowa Kisen,Kyowa Kisen,Maersk,Hyundai HI (Ulsan),Panama,Fitted,Diesel 2-Stroke,East Coast South America,,Cap San Maleas,"118,938","124,479",353365000,9633941,25.00,"40,670"
Bulk Carrier,2021,In Service,K-Line,K-Line,JFE Steel Corp,JMU Tsu Shipyard,Japan,Fitted,Diesel 2-Stroke,South East Asia,,Cape Brolga,"108,605","211,982",431568000,9907469,14.30,"14,800"
Ore Carrier,1978,In Service,American Steamship,Rand Logistics Inc,American Steamship,American SB (Lorain),United States,Fitted,Diesel 4-Stroke,East Coast North America,United States,American Spirit,"34,569","61,563",366930730,7423392,15.00,"11,768"
Fully Cellular Container,2009,In Service,Yang Ming,Yang Ming,Yang Ming,CSBC (Kaohsiung),Liberia,Fitted,Diesel 2-Stroke,West Coast North America,,YM Utility,"90,507","103,614",636013692,9337470,25.00,"68,640"
Bulk Carrier,2014,Idle,Nissen Kaiun,Nissen Kaiun,,Mitsui SB (Tamano),Panama,Fitted,Diesel 2-Stroke,East Coast Africa,,African Cheetah,"38,203","66,684",351754000,9636462,14.50,"8,470"
Ore Carrier,2010,In Service,COSCO Shipping Bulk,China COSCO Shipping,COSCO Shipping Bulk,Nantong COSCO KHI,Panama,Fitted,Diesel 2-Stroke,East Coast South America,Brazil,Yu Hua Hai,"152,148","297,846",371620000,9375771,14.50,"20,280"
Tanker,2014,In Service,Minerva Marine,Minerva Marine,Minerva Marine,SCS Shipbuilding,Malta,Fitted,Diesel 2-Stroke,Indian Subcontinent,,Zourva,"164,169","318,514",229597000,9679593,16.00,"29,400"
LPG Carrier,2013,In Service,Solvang ASA,Solvang ASA,Solvang ASA,Hyundai HI (Ulsan),Norwegian Int'l,Fitted,Diesel 2-Stroke,East Coast North America,,Clipper Quito,"48,051","55,047",257928000,9630755,16.80,"14,280"
Fully Cellular Container,2020,In Service,Zodiac Maritime,Zodiac Maritime,MSC,Hyundai HI (Ulsan),Madeira,Fitted,Diesel 2-Stroke,West Coast Africa,Togo,MSC Virgo,"149,525","158,097",255806340,9857171,22.00,"43,505"
